course_code,department_code,department_name,course_number,course_name,course_description,min_credits,max_credits,academic_year,terms
BCB 4002,BCB,Bioinformatics & Computational Biology,4002,Biovisualization,"Cat. IIThis course will use interactive visualization to model and analyze biological information, structures, and processes. Topics will include the fundamental principles, concepts, and techniques of visualization (both scientific and information visualization) and how visualization can be used to study bioinformatics data at the genomic, cellular, molecular, organism, and population levels. Students will be expected to write small to moderate programs to experiment with different visual mappings and data types. Recommended background: CS 2102 or CS 2103, CS 2223, and one or more biology courses.This course will be offered in 2020-21, and in alternating years thereafter.",3.0,3.0,2021 - 2022 Academic Year,C
BCB 4003,BCB,Bioinformatics & Computational Biology,4003,Biological And Biomedical Database Mining,"Cat. II This course will investigate computational techniques for discovering patterns in and across complex biological and biomedical sources including genomic and proteomic databases, clinical databases, digital libraries of scientific articles, and ontologies. Techniques covered will be drawn from several areas including sequence mining, statistical natural language processing and text mining, and data mining. Recommended Background: CS 2102 or CS 2103, CS 2223, MA 2610 orMA 2611, and one or more biology courses. This course will be offered in 2019-20, and in alternating years thereafter",3.0,3.0,2021 - 2022 Academic Year,B
BCB 4004,BCB,Bioinformatics & Computational Biology,4004,Statistical Methods In Genetics And Bioinformatics,"Cat. IIThis course provides students with knowledge and understanding of the applications of statistics in modern genetics and bioinformatics. The course generally covers population genetics, genetic epidemiology, and statistical models in bioinformatics. Specific topics include meiosis modeling, stochastic models for recombination, linkage and association studies (parametric vs. nonparametric models, family-based vs. population-based models) for mapping genes of qualitative and quantitative traits, gene expression data analysis, DNA and protein sequence analysis, and molecular evolution. Statistical approaches include log-likelihood ratio tests, score tests, generalized linear models, EM algorithm, Markov chain Monte Carlo, hidden Markov model, and classification and regression trees.Recommended background: MA 2612, MA 2631 (or MA 2621), and one or more biology courses.This course is offered in 2019-20, and in alternating years thereafter.",3.0,3.0,2021 - 2022 Academic Year,A
BCB 501,BCB,Bioinformatics & Computational Biology,501,Bioinformatics,"This course will provide an overview of bioinformatics, covering a broad selection of the most important techniques used to analyze biological sequence and expression data. Students will acquire a working knowledge of bioinformatics applications through hands-on use of software to ask and answer biological questions. In addition, the course will provide students with an introduction to the theory behind some of the most important algorithms used to analyze sequence data (for example, alignment algorithms and the use of hidden Markov models). Topics covered will include protein and DNA sequence alignments, evolutionary analysis and phylogenetic trees, obtaining protein secondary structure from sequence, and analysis of gene expression including clustering methods. Students may not receive credit for both BCB 4001 and BCB 501. (Prerequisite: knowledge of genetics, molecular biology, and statistics at the undergraduate level.)",3.0,3.0,2021 - 2022 Academic Year,"C,D"
BCB 502,BCB,Bioinformatics & Computational Biology,502,Biovisualization,"This course uses interactive visualization to explore and analyze data, structures, and processes. Topics include the fundamental principles, concepts, and techniques of visualization and how visualization can be used to analyze and communicate data in domains such as biology. Students will be expected to design and implement visualizations to experiment with different visual mappings anddata types, and will complete a research oriented project. Prerequisite: experience with programming(especially JavaScript), databases, and data structures. Students may not receive credit for bothBCB 502 and BCB 4002.",3.0,3.0,2021 - 2022 Academic Year,"C,D"
BCB 503,BCB,Bioinformatics & Computational Biology,503,Biological And Biomedical Database Mining,"This course will investigate computational techniques for discovering patterns in and acrosscomplex biological and biomedical sources, including genomic and proteomic databases,clinical databases, digital libraries of scientific articles, and ontologies. Techniques coveredwill be drawn from several areas including sequence mining, statistical natural languageprocessing and text mining, and data mining.(Prerequisite: Strong programming skills, an undergraduate or graduate course in algorithms, an undergraduate course in statistics, and one or more undergraduate biology courses.)",3.0,3.0,2021 - 2022 Academic Year,"C,D"
BCB 504,BCB,Bioinformatics & Computational Biology,504,Statistical Methods In Genetics And Bioinformatics,"This course provides students with knowledge and understanding of the applications of statistics in modern genetics and bioinformatics. The course generally covers population genetics, genetic epidemiology, and statistical models in bioinformatics. Specific topics include meiosis modeling, stochastic models for recombination, linkage and association studies (parametric vs. nonparametric models, family-based vs. population-based models) for mapping genes of qualitative and quantitative traits, gene expression data analysis, DNA and protein sequence analysis, and molecular evolution. Statistical approaches include log-likelihood ratio tests, score tests, generalized linear models, EM algorithm, Markov chain Monte Carlo, hidden Markov model, and classification and regression trees. Students may not receive credit for both BCB 4004 and BCB 504. (Prerequisite: knowledge of probability and statistics at the undergraduate level.)",3.0,3.0,2021 - 2022 Academic Year,"A,B"
BCB 510,BCB,Bioinformatics & Computational Biology,510,Bcb Seminar,"(0 credits; pass/fail grading) This seminar provides an opportunity for students in the BCB program to present their research work, as well as hear research talks from guest speakers.",0.0,0.0,2021 - 2022 Academic Year,"A,B,C,D"
BCB 590,BCB,Bioinformatics & Computational Biology,590,Special Topics,An offering of this course will cover a topic of current interest in detail. See the Supplement section of the online catalog at www.wpi.edu/+gradcat for descriptions of courses to be offered in this academic year. Prerequisites will vary with topic.,1.0,1.0,2021 - 2022 Academic Year,"A,B"
BME 1001,BME,Biomedical Engineering,1001,Introduction To Biomedical Engineering,"This course uses lectures, demonstrations, projects and scientific literature readings on the major branches of biomedical engineering. A series of guest lectures, including device demonstrations introduce students to the many branches of biomedical engineering. Course work for BME 1001 is based on small, creative projects focusing on primary literature, department research, global health, and biomedical engineering as a whole.",3.0,3.0,2021 - 2022 Academic Year,"A,B"
BME 1004,BME,Biomedical Engineering,1004,Introduction To Programming In Matlab,"Cat. IThis course will introduce basic and essential programming skills in modern engineering program language, Matlab, to all BME students. The course will include basic programming syntax, control structures, data structures (vectors, matrices, structures, cell arrays), 2D images, 3D image volumes, string manipulations, File I/O, figure plotting/visualization, image display, and basic graphical user interface (GUI) design.Recommended background: none.NOTE: The course does not count for engineering credits, but will fulfill the computer programming requirement for BME students.",3.0,3.0,2021 - 2022 Academic Year,"C,D"
BME 2001,BME,Biomedical Engineering,2001,Introduction To Biomaterials,"Cat. I This beginning course provides important background for all science and engineering disciplines regarding the capabilities and limitations of materials relevant to the development of medical devices. Students are introduced to the fundamental theme of materials science-- structureproperty-processing relationships in biomaterials, specifically metals, ceramics, and plastics. Aspects of material structure range from the atomic to microstructural and macroscopic scales. In turn, these structural features determine the properties of materials. In particular, this course investigates connections between structure and mechanical properties, and how working and thermal treatments may transform structure and thus alter material properties. This knowledge is then applied to material selection decisions for the design of medical devices and engineered tissues. Recommended background: prior knowledge of college-level chemistry and physics. Students who have previously received credit for ES 2001 or BME 2811 may not receive credit for BME 2001.",3.0,3.0,2021 - 2022 Academic Year,"A,C"
BME 2210,BME,Biomedical Engineering,2210,"Biomedical Signals, Instruments And Measurements","Cat I. This course is an introduction to the instrumentation methods used to measure, store and analyze the signals produced by biomedical phenomena. The goal of this course is to familiarize students with the basic design and implementation of techniques for measuring a broad scope of signal types for molecular, cellular and physiological research. Sensors used for acquiring electrical, magnetic, optical/spectral and chemical signals will be covered. Topics include the underlying physics and chemistry of biomedical signals, biosensor types and usage, amplification and signal conditioning, data acquisition methods, and sources of artifact and noise. Recommended background: PH 1120/21, CH 1010 or equivalent.",3.0,3.0,2021 - 2022 Academic Year,"B,C"
BME 2211,BME,Biomedical Engineering,2211,Biomedical Data Analysis,"Cat. I To learn the fundamentals of basic signal processing methods as well as linear time series analyses framework for modeling and mining biological data. Tools of data analysis include statistics for determining significance of a result, Laplace and Z transforms, convolution, correlation, sampling theorem, Fourier transform, transfer function, coherence function and various filtering techniques. The goal of this course is to offer the students an opportunity to learn and model and simulate static and dynamic physiological systems using linear systems theory. First principles of chemistry and physics are used to quantitatively model physiological systems. Most of the models are based on linear systems theory. Simulations and estimation are performed using Matlab and already-developed software. Recommended background: BME 2210, CS 1004 or equivalent.",3.0,3.0,2021 - 2022 Academic Year,"A,D"
BME 2502,BME,Biomedical Engineering,2502,Introduction To Biomechanics: Stress Analysis,"Cat. I This is an introductory course that addresses the analysis of basic mechanical and structural elements relevant to biomechanics. Topics include general concepts of stresses, strains, and material properties of biomaterials and biological materials including viscoelasticity. Also covered are stress concentrations, two-dimensional stress transformations, principal stresses, and Mohr’s circle. Applications are to uniaxially loaded bars, circular shafts under torsion, bending and shearing and deflection of beams. Both statically determinate and indeterminate problems are analyzed. Recommended background: Differential (MA 1021) and integral (MA 1022) calculus, vector algebra (MA 1023), physics mechanics (PH 1110 or PH 1111), and statics (ES 2501). Students who have previously received credit for BME 2511 or ES 2502 may not receive credit for BME 2502.",3.0,3.0,2021 - 2022 Academic Year,"B,D"
BME 2610,BME,Biomedical Engineering,2610,Introduction To Bioprocess Engineering,"Cat. I This course is an introduction to fundamental material and energy balances related to the field of Biomedical Engineering. The fundamentals of bioprocess engineering calculations and data analysis, and bioengineering processes and process variables will be covered. Students will learn to identify a system, define boundary conditions, and characterize the system processes to generate appropriate material and energy balances using the principles of conservation of mass and energy. Fundamentals and applications in the human body and biomanufacturing are examined. Specific examples may include an organ, multiple organs or the entire body, bioprocess instrumentation, individual or groups of cells, cell culture bioreactors, tissue engineered scaffolds, and drug delivery systems. Recommended background: Basic knowledge of differential and integral calculus (e.g. MA 1021 and MA 1022 or equivalent), human biology (e.g., BB 1025 or equivalent), and chemistry (e.g. CH 1010 and CH1020 or equivalent).",3.0,3.0,2021 - 2022 Academic Year,A
BME 3012,BME,Biomedical Engineering,3012,Biomedical Sensors Laboratory,"Cat. I (1/6 unit)This laboratory-based course is designed to develop hands-on experimental skillsrelevant to the selection and application of various sensors used to acquirebiomedical signals.Recommended background: BME 2210, BME 2211, ECE 2010, ECE 2019 or equivalent.Students who have previously taken BME 3011 cannot receive credit for thiscourse.",1.5,1.5,2021 - 2022 Academic Year,D
BME 3013,BME,Biomedical Engineering,3013,Biomedical Instrumentation Laboratory,"Cat. I (1/6 unit)This laboratory-based course is designed to develop hands-on experimental skillsrelevant to the design and application of analog instrumentation commonlyused to acquire biomedical signals.Recommended background: BME 2210, BME 2211, ECE 2010, ECE 2019or equivalent.Students who have previously taken BME 3011 cannot receive credit for thiscourse.",1.5,1.5,2021 - 2022 Academic Year,D
BME 3014,BME,Biomedical Engineering,3014,Signal Processing Laboratory,"Cat. I (1/6 unit) This course is an introduction to the computational methods used to extract and analyze the signals produced by biomedical phenomena. The goal of this course is to familiarize the student with implementing the most common algorithmic approaches for data analysis used in biomedical engineering. Coursework will cover programming for topics such as peak detection, spectral analysis and the fast Fourier transform FFT method, auto-regression analysis, polynomial trend removal, and signal filtering methods. Recommended background: BME 2211, CS1004 or equivalent",1.5,1.5,2021 - 2022 Academic Year,"B,D"
BME 3111,BME,Biomedical Engineering,3111,Physiology And Engineering,"Cat. I This course provides students with an understanding of mammalian physiology and the engineering aspects of different physiological systems. The course will have both a lecture and laboratory portion. The laboratory portion will provide the students with the ability to analyze and interpret data from living systems, which is a required ABET program criteria for student majoring in Biomedical Engineering. The course will focus on a number of organ systems that may include cardiovascular, respiratory, and renal. Engineering principles that include biomechanical, bioelectrical, and biofluids will be applied to physiological systems. Recommended background: A knowledge of Cell Biology (such as BB 2550), biomechanics and biotransport (such as BME 2511), and signal analysis (such as BME 2210) or equivalent.",3.0,3.0,2021 - 2022 Academic Year,"A,D"
BME 3300,BME,Biomedical Engineering,3300,Biomedical Engineering Design,"Cat. IStudents are guided through the open-ended, real-world, design process startingwith the project definition, specification development, management, teaminteractions and communication, failure and safety criteria, progress reporting,marketing concepts, documentation and technical presentation of the finalproject outcome. The course will include a significant writing component, willmake use of computers, and hands-on design explorations.Students who have previously received credit for BME 2300 may not receivecredit for BME 3300.",3.0,3.0,2021 - 2022 Academic Year,"A,C"
BME 3503,BME,Biomedical Engineering,3503,Skeletal Biomechanics Laboratory,"Cat. I (1/6 unit)This laboratory course will help students increase their knowledge of themechanics of the musculoskeletal system. Students will gain understanding ofthe course materials and technical skills through the combined hands-onapplication of state-of-the-art biomechanical testing equipment and computersimulation modules towards solving authentic problems involving balance,strength, and movement.Recommended background: Statics (ES 2501) and dynamics (ES 2503).Students who have previously taken BME 3504 cannot receive credit for this course.",1.5,1.5,2021 - 2022 Academic Year,"A,C"
BME 3505,BME,Biomedical Engineering,3505,Solid Biomechanics Laboratory: Techniques,"Cat. I (1/6 unit) This laboratory-driven solid biomechanics course provides hands-on experience in characterizing the mechanical properties of biological tissues such as bone, tendons, ligaments, skin, and blood vessels and their synthetic analogs. Students gain an in-depth understanding of the course material by performing uniaxial tension and compression, bending, and torsion tests on hard and soft tissues using industry-standard testing equipment and completing mechanical and statistical analysis of the data. Recommended background: A solid knowledge of mechanics of materials (ES2502) and material science (ES 2001). Students who have previously taken BME3504 may not receive credit for this course. Some sections of this course may be offered as Writing Intensive (WI).",1.5,1.5,2021 - 2022 Academic Year,"A,B,C"
BME 3506,BME,Biomedical Engineering,3506,Solid Biomechanics Laboratory: Applications,"Cat. I (1/6 unit) This laboratory-driven solid biomechanics course provides hands-on experience in characterizing the mechanical properties of biological tissues such as bone, tendons, ligaments, skin, and blood vessels and their synthetic analogs, in the context of an authentic challenge. Students gain an in-depth understanding of the course material from personal observations, measurements, and analysis of biological tissues and synthetic replacement/fixation materials using industry-standard testing equipment. A challenge-based laboratory project will be assigned which will require the students to determine and execute effective test methods at their own pace in a team setting and communicate their findings effectively. Recommended background: Ability to independently perform tensile and bending tests using a uniaxial mechanical testing machine and to perform mechanical and statistical analysis of test data (BME3505). Students who have previously taken BME3504 may not receive credit for this course. Some sections of this course may be offered as Writing Intensive (WI).",1.5,1.5,2021 - 2022 Academic Year,"B,D"
BME 3605,BME,Biomedical Engineering,3605,Biotransport Laboratory,"Cat. I (1/6 unit) This laboratory-driven transport course provides hands-on experience in measuring heat, flow, and transport in biologically-relevant systems. Students gain an in-depth understanding of the course material from personal observations and measurements on model cardiovascular systems and connective tissues. Challenge-based laboratory projects will be assigned which will require the students to determine and execute effective test methods at their own pace in a team setting and communicate their findings effectively. Systems modeled may include blood vessels, stenotic vessels, and aneurysms. Connective tissues tested may include blood vessels and skin. Recommended background: Basic Chemistry (CH 1010, CH 1020), Basic Physics (PH 1010), Material Science (ES 2001 or BME 2811), stress analysis (ES 2502 or BME 2502) and a knowledge of cell biology (BB 2550), or equivalent.",1.5,1.5,2021 - 2022 Academic Year,"B,D"
BME 3610,BME,Biomedical Engineering,3610,Transport Analysis In Bioengineering,"Cat I.This course provides an overview of the modeling and analysis of fluid and mass transport processes related to the field of Biomedical Engineering and Bioprocess Engineering. Fundamentals and applications of hydrostatics, conservation of mass and momentum in modeling and analysis of biological fluid transport processes in the human body and bioprocess equipment are presented and discussed. It includes modeling and analysis of blood and biological fluid flow through blood vessels, capillary beds and bioprocess equipment. Modeling and analysis of diffusive and convective mass transport in biological conduits and membranes, selective permeability and nutrient/waste exchange in parenchymal tissues with transport barriers unique to biological systems such as intact and fenestrated endothelium. Basic concepts of pharmacokinetics such as plasma clearance, volume of distribution of drugs and other biological solutes in body tissues are also covered. Surface adsorption and membrane permeability concepts are covered in the context of biological soluted exchange in capillaries and bioprocess operations. Students may not receive credit for both BME 3610 and BME 361X.Recommended background: Basic knowledge of differential and integral calculus (e.g., MA 2051 or equivalent), fundamental knowledge of biological system function or cell function (e.g., BB 1035 or BB 2550 or equivalent), fundamentals of data analysis and process modeling such as some of the topics covered in BME 2211 or BME 2610 or ChE 2011, or equivalent.",3.0,3.0,2021 - 2022 Academic Year,C
BME 3811,BME,Biomedical Engineering,3811,Biomaterials Lab,"Cat I (1/6 units)This laboratory-driven course provides hands-on experience in the design, fabrication and characterization of biomaterials for medical applications. Students will use synthetic and natural polymer materials to fabricate a scaffold for applications such as tissue engineering, wound healing or controlled drug delivery. A challenge-based laboratory project will be assigned which will require the students to design a biomaterial scaffold that meets specific design criteria, and quantitatively assess the properties of this scaffold to evaluate how well the criteria were met. Design criteria may include mechanical strength, biocompatibility, porosity, degradation rate, or release kinetics. Students will complete the project at their own pace in a team setting and communicate their findings effectively.Recommended background: Basic chemistry (CH 1010 and CH 1020) and a knowledge of material science (ES 2001) or equivalent.",1.5,1.5,2021 - 2022 Academic Year,"A,D"
BME 3813,BME,Biomedical Engineering,3813,Cellular Engineering Lab,"Cat. I (1/6 units) This laboratory-driven course provides hands-on experience in the application of bioengineering to control cellular processes. Students will be challenged to design an intervention to manipulate a specific cellular process (adhesion, proliferation, migration, differentiation) and use modern cellular and molecular biology tools to assess and refine their approach. Laboratory exercises will provide an overview of cell culture technique, microscopy and molecular probes, quantification of cell proliferation and migration, and assessment of cellular differentiation in the context of the assigned projects. Students will complete the project at their own pace in a team setting and communicate their findings effectively. Recommended background: Basic chemistry (CH 1010 and CH 1020) and a solid knowledge of cell biology (BB 2550) or equivalent.",1.5,1.5,2021 - 2022 Academic Year,"B,C"
BME 4011,BME,Biomedical Engineering,4011,Biomedical Signal Analysis,"Cat. II Introduction to biomedical signal processing and analysis. Fundamental techniques to analyze and process signals that originate from biological sources: ECGs, EMGs, EEGs, blood pressure signals, etc. Course integrates physiological knowledge with the information useful for physiologic investigation and medical diagnosis and processing. Biomedical signal characterization, time domain analysis techniques (transfer functions, convolution, auto- and cross-correlation), frequency domain (Fourier analysis), continuous and discrete signals, deterministic and stochastic signal analysis methods. Analog and digital filtering. Recommended background: ECE 2311, ECE 2312, or equivalent. This course will be offered in 2020-21, and in alternating years thereafter.",3.0,3.0,2021 - 2022 Academic Year,B
BME 4023,BME,Biomedical Engineering,4023,Biomedical Instrumentation Design,"Cat. II This course builds on the fundamental knowledge of instrumentation and sensors. Lectures cover the principles of designing, building and testing analog instruments to measure and process biomedical signals. The course is intended for students interested in the design and development of electronic bioinstrumentation. Emphasis is placed on developing the student’s ability to design a simple medical device to perform real-time physiological measurements. Recommended background: BME 3012, BME 3013, ECE 2010 and ECE 2019. This course will be offered in 2020-21, and in alternating years thereafter.",3.0,3.0,2021 - 2022 Academic Year,A
BME 4300,BME,Biomedical Engineering,4300,MQP Capstone Design,"Cat. I (1/6 unit)This course guides students through the engineering design process during the first term of their MQP to aid them in fulfilling their capstone design requirement. The course focuses on developing a revised client statement based on the objectives, constraints, and functions of the design. Methods for concept generation, concept selection and development strategy will be covered. In addition, project planning tools, business plans, ethics, and design for manufacturability and sustainability will be covered.Recommended background: Principles of engineering design such as BME 3300 or equivalent. Course should be taken concurrently with the MQP. Students who have taken BME 430X cannot get credit for BME 4300. BME 4300 cannot be used to fulfill graduate degree requirements.",1.5,1.5,2021 - 2022 Academic Year,A
BME 4503,BME,Biomedical Engineering,4503,Computational Biomechanics,"Cat. II This course will focus on using computational modeling approaches, particularly, finite element models, to simulate, validate, and analyze the biomechanics involved in soft and hard tissue deformation and stress/strain analysis in quasi-static or impact conditions. First, students will be introduced to the process of setting specific analytical goals and establishing the need for a specific quantitative biomechanical model. Then, basic underlying principles of forward and inverse static/dynamics simulations are covered. Finally, multi-scale and multi-step models will be introduced. During the process, material models and property assignment will also be covered. Model building, testing, optimization and validation with experimental data will be discussed. An introduction to tools and techniques used in computational biomechanics will be provided. Students may not receive credit for both BME 450X and BME 4503. Recommended background: Basic knowledge of solid mechanics (ES 2501, ES 2502, ES 2503, ME 3501 or equivalent), differential and integral calculus (i.e., MA 2051 or equivalent), and prior MATLAB experience (e.g., BME 2211).",3.0,3.0,2021 - 2022 Academic Year,B
BME 4504,BME,Biomedical Engineering,4504,Biomechanics,"Cat. I This course emphasizes the applications of mechanics to describe the material properties of living tissues. It is concerned with the description and measurements of these properties as related to their physiological functions. Emphasis on the interrelationship between biomechanics and physiology in medicine, surgery, body injury and prostheses. Topics covered include: review of basic mechanics, stress, strain, constitutive equations and the field equations, viscoelastic behavior, and models of material behavior. The measurement and characterization of properties of tendons, skin, muscles and bone. Biomechanics as related to body injury and the design of prosthetic devices. Recommended background: Mechanics (ES 2501, ES 2502, ES 2503, ME 3501), Mathematics (MA 2051).",3.0,3.0,2021 - 2022 Academic Year,C
BME 4701,BME,Biomedical Engineering,4701,Cell And Molecular Bioengineering,"Cat. I This course examines the principles of molecular and cell biology applied to the design of engineered molecules, cells and tissues. Topics will include the basic structural, chemical and physical properties of biomolecules (proteins, lipids, DNA and RNA), application of biomolecules to monitor and alter cellular processes in vitro and in vivo, and design considerations for engineering cell and molecular therapeutics. Case studies will be used to examine specific applications of molecular and cellular bioengineering technologies to treat disease and promote tissue repair and regeneration. Recommended background: Cell biology (BB 2550). Additional coursework in molecular biology (BB 2950) and/or genetics (BB 2920) would be beneficial. Students who earned credit for BME 37XX may not receive credit for BME 4701.",3.0,3.0,2021 - 2022 Academic Year,D
BME 4814,BME,Biomedical Engineering,4814,Biomaterials,"Cat. I This course discusses various aspects pertaining to the selection, processing, testing (in vitro and in vivo) and performance of biomedical materials. The biocompatibility and surgical applicability of metallic, polymeric and ceramic implants and prosthetic devices are discussed. The physico-chemical interactions between the implant material and the physiological environment will be described. The use of biomaterials in maxillofacial, orthopedic, dental, ophthalmic and neuromuscular applications is presented. Recommended background: BB 3130 or equivalent introduction to Human Anatomy, ES 2001 or equivalent introduction to Materials Science and Engineering.",3.0,3.0,2021 - 2022 Academic Year,A
BME 4828,BME,Biomedical Engineering,4828,Biomaterial - Tissue Interactions,"Cat. I This course examines the principles of materials science and cell biology underlying the design of medical devices, artificial organs and scaffolds for tissue engineering. Molecular and cellular interactions with biomaterials are analyzed in terms of cellular processes such as matrix synthesis, degradation and contraction. Principles of wound healing and tissue remodeling are used to study biological responses to implanted materials and devices. Case studies will be analyzed to compare tissue responses to intact, bioresorbable and bioerodible biomaterials. Additionally, this course will examine criteria for restoring physiological function of tissue and organs and investigate strategies to design implants and prostheses based on control of biomaterial-tissue interactions. Recommended background: BB 2550 or equivalent, ES 2001 or equivalent, PH 1110 or PH 1111.",3.0,3.0,2021 - 2022 Academic Year,B
BME 4831,BME,Biomedical Engineering,4831,Drug Delivery,"Cat. IThe course examines fundamental composition, structure, property and performance relationships in classical and novel drug delivery systems as part of disease treatment strategies (i.e. cancer, organ damage). Physiological barriers to drug delivery and methods to overcome these barriers are analyze. The course will familiarize students with biomaterial-based drug delivery systems that have recently been developed. Topics include routes of drug administration, diffusion, Fick's law, pharmacokinetics/pharmacodynamics, drug modifications, materials for drug delivery (implantable, transdermal, injectable), antibody therapeutics, cells as drugs and drug delivery vehicles, and novel drug formulations and delivery systems.Recommended background: Fundamental knowledge of biomaterials (e.g. BME 2811 or equivalent), multivariable calculus (e.g. MA 1024 or equivalent) and biological system function or cell function (e.g., BB 1035 or BB 2550 or equivalent).",3.0,3.0,2021 - 2022 Academic Year,C
BME 520,BME,Biomedical Engineering,520,Biomechanics And Robotics,"This course introduces Biomechanics and Robotics as a unified subject addressing living and man-made ""organisms"". It draws deep connections between the natural and the synthetic, showing how the same principles apply to both, starting from sensing, through control, to actuation. Those principles are illustrated in several domains, including locomotion, prosthetics, and medicine. The following topics are addressed: Biological and Artificial sensors, actuators and control, Orthotics Biomechanics and Robotics, Prosthetic Biomechanics and Robotics: Artificial Organs and Limbs, Rehabilitation Robotics and Biomechanics: Therapy, Assistance and Clinical Evaluation, Human-Robot Interaction and Robot Aided Living for Healthier Tomorrow, Sports, Exercise and Games: Biomechanics and Robotics, Robot-aided Surgery, Biologically Inspired Robotics and Micro- (bio)robotics, New Technologies and Methodologies in Medical Robotics and Biomechanics, Neural Control of Movement and Robotics Applications, Applied Musculoskeletal Models and Human Movement Analysis. This course meshes physics, biology, medicine and engineering and introduce students to subject that holds a promise to be one of the most influential innovative research directions defining the 21st century. Recommended background: foundation of physics, linear algebra and differential equations; basic programming skills e.g. using MATLAB, undergraduate level biomechanics, robotics.",3.0,3.0,2021 - 2022 Academic Year,"C,D"
BME 523,BME,Biomedical Engineering,523,Biomedical Instrumentation,"Origins and characteristics of bioelectric signals, recording electrodes, biopotential amplifiers, basic sensors, chemical, pressure, sound, and flow transducers, noninvasive monitoring techniques and electrical safety. (Prerequisites: Circuits and electronics, control engineering or equivalent.)",3.0,3.0,2021 - 2022 Academic Year,"A,B"
BME 530,BME,Biomedical Engineering,530,Biomedical Materials,"This course is intended to serve as a general introduction to various aspects pertaining to the application of synthetic and natural materials in medicine and healthcare. This course will provide the student with a general understanding of the properties of a wide range of materials used in clinical practice. The physical and mechanical property requirements for the long term efficacy of biomaterials in the augmentation, repair, replacement or regeneration of tissues will be described. The physico-chemical interactions between the biomaterial and the physiological environment will be highlighted. The course will provide a general understanding of the application of a combination of synthetic and biological moieties to elicit a specific physiological response. Examples of the use of biomaterials in drug delivery, theranostic, orthopedic, dental, cardiovascular, ocular, wound closure and the more recent lab-on-chip applications will be outlined. This course will highlight the basic terminology used in this field and provide the background to enable the student to review the latest research in scientific journals. This course will demonstrate the interdisciplinary issues involved in biomaterials design, synthesis, evaluation and analysis, so that students may seek a job in the medical device industry or pursue research in this rapidly expanding field. Students cannot receive credit for this course if they have received credit for the Special Topics (ME 593/MTE 594) version of the same course, or for ME/BME 4814 Biomedical Materials.",2.0,2.0,2021 - 2022 Academic Year,A
BME 531,BME,Biomedical Engineering,531,Biomaterials In The Design Of Medical Devices,"Biomaterials are an integral part of medical devices, implants, controlled drug delivery systems, and tissue engineered constructs. Extensive research efforts have been expended on understanding how biologic systems interact with biomaterials. Meanwhile, controversy has revolved around biomaterials and their availability as a result of the backlash to the huge liability resulting from controversies related to material and processing shortcomings of medical devices. This course specifically addresses the unique role of biomaterials in medical device design and the use of emerging biomaterials technology in medical devices. The need to understand design requirements of medical devices based on safety and efficacy will be addressed. Unexpected device failure can occur if testing fails to account for synergistic interactions from chronic loading, aqueous environments, and biologic interactions. Testing methodologies are readily available to assess accelerated effects of loading in physiologic-like environments. This combined with subchronic effects of animal implants is a potential tool in assessing durability. It is difficult to predict the chronic effects of the total biologic environment. The ultimate determination of safety comes not only from following the details of regulations, but with an understanding of potential failure modes and designs that lowers the risk of these failures. This course will evaluate biomaterials and their properties as related to the design and reliability of medical devices.",3.0,3.0,2021 - 2022 Academic Year,"C,D"
BME 532,BME,Biomedical Engineering,532,Medical Device Regulation,"This course provides an overview of regulations that guide the medical devices industry. Primary focus is on the Food, Drug and Cosmetic Act (FD&C Act) and its associated regulations. The course covers the FD&C Act, including definitions, prohibited acts, penalties and general authority. The course also covers regulations, including establishment registration, premarket approval (PMA) and current good manufacturing practices. Requirements of other federal agencies (NRC, FCC, EPA) will also be discussed.",3.0,3.0,2021 - 2022 Academic Year,"A,B,C,D"
BME 533,BME,Biomedical Engineering,533,Medical Device Innovation and Development,"The goal of this course is to introduce medical device innovation strategies, design and development processes, and provide students with an understanding of how medical device innovations are brought from concept to clinical adoption. Students will have opportunities to practice medical device innovation through a team-based course project. Specific learning outcomes include describing and applying medical device design and development concepts such as value proposition, iterative design, concurrent design and manufacturing, intellectual property, and FDA regulation; demonstrating an understanding of emerging themes that are shaping medical device innovation; demonstrating familiarity with innovation and entrepreneurship skills, including customer discovery, market analysis, development planning, and communicating innovation; and gaining capability and confidence as innovators, problem solvers, and communicators, particularly in the medical device industry but transferable to any career path.",2.0,2.0,2021 - 2022 Academic Year,A
BME 535,BME,Biomedical Engineering,535,Medical Device Design Controls,"An introduction to the fundamentals of medical device design controls from concept generation to manufacturing. Students work in teams to navigate through the medical device design and development lifecycle on various device types, fulfilling design control requirements while learning what is required to bring a concept to life in industry. Students may not receive credit if they previously completed this course as BME 595: Special Topics. *Does not fulfil technical depth requirement.",3.0,3.0,2021 - 2022 Academic Year,"C,D"
BME 550,BME,Biomedical Engineering,550,Tissue Engineering,"This biomaterials course focuses on the selection, processing, testing and performance of materials used in biomedical applications with special emphasis upon tissue engineering. Topics includematerial selection and processing, mechanisms and kinetics of material degradation, cell-material interactions and interfaces; effect of construct architecture on tissue growth; and transport through engineered tissues. Examples of engineering tissues for replacing cartilage, bone, tendons, ligaments, skin and liver will be presented. (Prerequisites: A first course in biomaterials equivalent to BME/ME 4814 and a basic understanding of cell biology and physiology. Admission of undergraduate students requires the permission of the instructor.)",3.0,3.0,2021 - 2022 Academic Year,"A,B"
